alg            , n , mean_dcpu           , sd_dcpu           , min_dcpu           , max_dcpu          , ci95_low            , ci95_high
ALL            , 40, -0.28700000000000003, 1.9850352964632967, -4.73              , 2.59              , -0.9218450866099783 , 0.34784508660997826
linear_scan    , 10, -1.2639999999999998 , 2.7518809728781672, -4.73              , 1.1100000000000003, -3.2325770584063083 , 0.7045770584063089
mergesort      , 10, 0.15399999999999991 , 0.2720784200679403, -0.2999999999999998, 0.5899999999999999, -0.04063317676599773, 0.3486331767659976
quadratic_bench, 10, -0.06599999999999998, 1.8020124552535393, -1.4000000000000004, 2.59              , -1.3550820545426239 , 1.2230820545426238
log_halving    , 10, 0.028000000000000025, 2.1770612199833876, -2.380000000000001 , 2.2               , -1.529375778474517  , 1.585375778474517
