alg            , n , mean_drss_mib      , sd_drss_mib         , min_drss_mib       , max_drss_mib       , ci95_low_mib       , ci95_high_mib
ALL            , 40, -1.9670750000000001, 0.8724154029224899  , -3.7379999999999995, -1.4379999999999997, -2.246086981809588 , -1.6880630181904122
linear_scan    , 10, -1.4896000000000005, 0.04180430599830588 , -1.6020000000000003, -1.4649999999999999, -1.5195049989959384, -1.4596950010040626
mergesort      , 10, -3.3913            , 0.5339975135189718  , -3.7379999999999995, -2.324             , -3.773298809076399 , -3.0093011909236016
quadratic_bench, 10, -1.5206            , 0.058653786464870857, -1.6639999999999997, -1.4689999999999994, -1.5625583912100107, -1.4786416087899892
log_halving    , 10, -1.4667999999999999, 0.033372643487343735, -1.5470000000000006, -1.4379999999999997, -1.490673350989758 , -1.4429266490102417
