alg            , n , mean_dlog           , sd_dlog             , ci95_low            , ci95_high            , t_stat             , p_value              , ratio             , ratio_ci_low      , ratio_ci_high
ALL            , 40, -0.09322225317315176, 0.18650719485551961 , -0.15287014783900146, -0.03357435850730206 , -3.161214760303327 , 0.0030362049401524305, 0.9109910071525499, 0.8582411590452144, 0.9669830051451723
linear_scan    , 10, -0.0457208638110949 , 0.04604816917192763 , -0.0786617396363527 , -0.012779987985837092, -3.139800535687051 , 0.011931858278482397 , 0.9553085861747552, 0.9243525433962735, 0.9873013292807788
mergesort      , 10, -0.392008611255479  , 0.03639247192792862 , -0.4180422173751095 , -0.36597500513584846 , -34.063090751895224, 7.990719135240427e-11, 0.6756982953249254, 0.6583344346863653, 0.6935201354346932
quadratic_bench, 10, -0.03107984296557258, 0.022559663437915847, -0.04721805400265834, -0.014941631928486823, -4.356585077700578 , 0.0018325667743539077, 0.9693981703612936, 0.9538793776950503, 0.9851694403652899
log_halving    , 10, 0.09592030533953944 , 0.03225900947818188 , 0.07284360012897871 , 0.11899701055010016  , 9.402850355244409  , 5.959193937331729e-06, 1.100671342869624 , 1.0755623059534696, 1.1263665510669465
